,love,heartbreak,dreams,dance,night,freedom,revolution,soul,passion,mystery,magic,nostalgia,hope,fear,power
Money On My Mind,0.12069494650319465,0.13329966171191418,0.12022481304145419,0.16983169109957066,0.1775634194379271,0.11562805324539421,0.05235553952977022,0.1434307420261542,0.12034011063926447,0.08488549039435607,0.13154073428804344,0.0672314199829836,0.14493189140155358,0.09664435697979178,0.1584632357054806
Think Yall Know,0.0930369254967257,0.1081173766575054,0.05778720522107147,0.15270474652385302,0.1339929477358454,0.09770067694437924,0.03762033285459363,0.13119295260831482,0.029479478777596702,0.07718205609653767,0.09564588517631362,0.06301930432081995,0.11654018037561638,0.0992394488521571,0.11640357616874669
DEvils,0.14973285916416565,0.14936577116079416,0.1776031800933026,0.17983615810559272,0.1676879103223773,0.09614337610169443,0.08641795983647593,0.22626484888556828,0.11800622397552414,0.17002433307121423,0.18743579697251028,0.04207288057791071,0.19065784874087408,0.12065678025374288,0.181589212990996
December 4th,0.15612629265470712,0.18677757653480645,0.1365266639753133,0.11383820073418648,0.13943050823279218,0.11075663759186337,0.06365340420526852,0.16267855840421766,0.0768046351702876,0.09209467933836418,0.10884997014502712,0.09018677808564213,0.17027470843656511,0.09847678118747062,0.11979039121181254
98 Freestyle,0.07034362737101421,0.13418922757228968,0.09404073074280603,0.1333158377989695,0.15411544019308884,0.09043457062246033,0.05269223626622515,0.10818197013251396,0.08010590341589793,0.07916161963001805,0.10294368906210197,0.07474427098917652,0.11210936937690691,0.06587032303388064,0.12832272671857786
What Happened to That Boy?,0.08336203986625904,0.13019471184580997,0.10139423260971539,0.1632723433245522,0.17370701321969195,0.09120779312034154,0.06699890742090651,0.14381495152574006,0.07970860815806027,0.14663214368773023,0.1657308442468448,0.06686700859110076,0.15950697650386764,0.10361062696134889,0.15077075855199984
Its Hot Some Like It Hot,0.06588143023391685,0.14450972440578633,0.0854831402154291,0.19056817006924787,0.18686181244180605,0.09026590920308673,0.0878119982283099,0.14378544429716564,0.09635739308265591,0.09540067168186793,0.10932542611988984,0.07491052855100207,0.14059603887194258,0.0797454928351232,0.14532973630080823
Losing Weight Pt. 2,0.10818878474634896,0.1506082799629629,0.14531842027750078,0.17196532767860612,0.17445359775357416,0.10453634101036266,0.0712224776612386,0.13272950022667993,0.09782624182197296,0.1125151627282775,0.14274652720124276,0.09475286089935911,0.1723352885047718,0.07263563503224234,0.11585580925428536
Its Like That,0.12237200364594919,0.14971652972932215,0.12981509234336852,0.2101696203537023,0.16628723170842827,0.11834138042249505,0.09658979781540726,0.17305813913460666,0.10526760751331196,0.10496510443697224,0.1304957444755663,0.08222344859283509,0.16810687468140761,0.08882604963940645,0.1617578216843173
More Gangsta Music,0.09750215772390394,0.1214499812495015,0.11212794452434864,0.21014918482756456,0.14180777870489955,0.08131936742970683,0.08977610629318193,0.1442808874814367,0.09163013601430062,0.10567779171010312,0.11952452810060492,0.11034568138081396,0.1551853882871545,0.042440075884137576,0.1038312660214932
